Vendor,البائع
A reversal has occurred on this transaction because you have given the customer a refund.,حدث انعكاس على هذه المعاملة لأنك أجريت استردادًا للعميل.,module,Magento_Paypal,,,,
Reversal of an adjustment.,عكس تسوية.,module,Magento_Paypal,,,,
Transaction reversal due to fraud detected by PayPal administrators.,عكس معاملة بسبب احتيال اكتشفه مسؤولو PayPal.,module,Magento_Paypal,,,,
Transaction reversal by PayPal administrators.,عكس معاملة من قِبل مسؤولي PayPal.,module,Magento_Paypal,,,,
Reimbursement for a chargeback.,تعويض عن استرداد مدفوع.,module,Magento_Paypal,,,,
Settlement of a chargeback.,تسوية استرداد مدفوع.,module,Magento_Paypal,,,,
A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.,حدث انعكاس على هذه المعاملة بسبب نزاع من العميل يشتبه في وجود انتحال هوية غير مصرح به.,module,Magento_Paypal,,,,
Buyer claims that he did not receive goods or service.,يدّعي المشتري أنه لم يستلم البضاعة أو الخدمة.,module,Magento_Paypal,,,,
Buyer claims that the goods or service received differ from merchant’s description of the goods or service.,يدّعي المشتري أن البضاعة أو الخدمة المستلمة تختلف عن وصف التاجر لها.,module,Magento_Paypal,,,,
Buyer claims that he/she did not authorize transaction.,يدّعي المشتري أنه لم ي,module,Magento_Paypal,,,,
A case that has been resolved and close requires a reimbursement.,حالة تم حلها وإغلاقها تتطلب تعويضًا.,module,Magento_Paypal,,,,
Buyer claims that a possible duplicate payment was made to the merchant.,يدعي المشتري أنه تم دفع مبلغ مكرر محتمل للتاجر.,module,Magento_Paypal,,,,
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.",يدعي المشتري أن البضائع المستلمة غير مرضية أو معيبة أو تالفة.,module,Magento_Paypal,,,,
Unknown reason. Please contact PayPal customer service.,سبب غير معروف. يرجى التواصل مع خدمة عملاء PayPal.,module,Magento_Paypal,,,,
Payer ID,معرف الدافع,module,Magento_Paypal,,,,
Payer Email,بريد الدافع,module,Magento_Paypal,,,,
Payer Status,حالة الدافع,module,Magento_Paypal,,,,
Payer Address ID,معرف عنوان الدافع,module,Magento_Paypal,,,,
Payer Address Status,حالة عنوان الدافع,module,Magento_Paypal,,,,
Merchant Protection Eligibility,أهلية حماية التاجر,module,Magento_Paypal,,,,
Triggered Fraud Filters,فلاتر الاحتيال المُفعّلة,module,Magento_Paypal,,,,
Last Correlation ID,آخر معرف ارتباط,module,Magento_Paypal,,,,
Address Verification System Response,استجابة نظام التحقق من العنوان,module,Magento_Paypal,,,,
CVV2 Check Result by PayPal,نتيجة فحص CVV2 من PayPal,module,Magento_Paypal,,,,
AVS Street Match,مطابقة شارع AVS,module,Magento_Paypal,,,,
AVS zip,رمز بريدي AVS,module,Magento_Paypal,,,,
International AVS response,استجابة AVS الدولية,module,Magento_Paypal,,,,
Buyer's Tax ID,الرقم الضريبي للمشتري,module,Magento_Paypal,,,,
Buyer's Tax ID Type,نوع الرقم الضريبي للمشتري,module,Magento_Paypal,,,,
Chargeback,رد المبالغ,module,Magento_Paypal,,,,
Complaint,شكوى,module,Magento_Paypal,,,,
Dispute,نزاع,module,Magento_Paypal,,,,
Matched Address only (no ZIP),مطابقة العنوان فقط (بدون رمز بريدي),module,Magento_Paypal,,,,
Matched Address only (no ZIP) International,مطابقة العنوان فقط (بدون رمز بريدي) دولي,module,Magento_Paypal,,,,
No Details matched,لا توجد تفاصيل مطابقة,module,Magento_Paypal,,,,
No Details matched. International,لا توجد تفاصيل مطابقة. دولي,module,Magento_Paypal,,,,
Exact Match.,مطابقة تامة.,module,Magento_Paypal,,,,
Exact Match. Address and Postal Code. International,مطابقة تامة. العنوان والرمز البريدي. دولي,module,Magento_Paypal,,,,
Exact Match. Address and Postal Code. UK-specific,مطابقة تامة. العنوان والرمز البريدي. خاص بالمملكة المتحدة,module,Magento_Paypal,,,,
N/A. Not allowed for MOTO (Internet/Phone) transactions,غير متاح. غير مسموح لمعاملات MOTO (الإنترنت/الهاتف),module,Magento_Paypal,,,,
N/A. Global Unavailable,غير متاح. غير متاح عالمياً,module,Magento_Paypal,,,,
N/A. International Unavailable,غير متاح. غير متاح دولياً,module,Magento_Paypal,,,,
Matched five-digit ZIP only (no Address),تطابق الرمز البريدي المكون من خمسة أرقام فقط (بدون عنوان),module,Magento_Paypal,,,,
Matched Postal Code only (no Address),تطابق الرمز البريدي فقط (بدون عنوان),module,Magento_Paypal,,,,
N/A. Retry,غير متاح. أعد المحاولة,module,Magento_Paypal,,,,
N/A. Service not Supported,غير متاح. الخدمة غير مدعومة,module,Magento_Paypal,,,,
N/A. Unavailable,غير متاح. غير متاح,module,Magento_Paypal,,,,
Matched whole nine-digit ZIP (no Address),تطابق الرمز البريدي المكون من تسعة أرقام كاملاً (بدون عنوان),module,Magento_Paypal,,,,
Yes. Matched Address and five-digit ZIP,نعم. تطابق العنوان والرمز البريدي المكون من خمسة أرقام,module,Magento_Paypal,,,,
All the address information matched,تطابقت جميع معلومات العنوان,module,Magento_Paypal,,,,
None of the address information matched,لم تتطابق أي من معلومات العنوان,module,Magento_Paypal,,,,
Part of the address information matched,تطابق جزء من معلومات العنوان,module,Magento_Paypal,,,,
N/A. The merchant did not provide AVS information,غير متاح. لم يقدم التاجر معلومات AVS,module,Magento_Paypal,,,,
"N/A. Address not checked, or acquirer had no response. Service not available",غير متاح. لم يتم فحص العنوان، أو لم تتلقَّ استجابة من جهة الاستحواذ. الخدمة غير متاحة,module,Magento_Paypal,,,,
Matched (CVV2CSC),تطابق (CVV2CSC),module,Magento_Paypal,,,,
No match,لا يوجد تطابق,module,Magento_Paypal,,,,
N/A. Not processed,غير متاح. لم تتم المعالجة,module,Magento_Paypal,,,,
N/A. Service not supported,غير متاح. الخدمة غير مدعومة,module,Magento_Paypal,,,,
N/A. Service not available,غير متاح. الخدمة غير متاحة,module,Magento_Paypal,,,,
N/A. No response,غير متاح. لا توجد استجابة,module,Magento_Paypal,,,,
Matched (CVV2),تطابق (CVV2),module,Magento_Paypal,,,,
N/A. The merchant has not implemented CVV2 code handling,غير متاح. لم يُطبّق التاجر معالجة رمز CVV2,module,Magento_Paypal,,,,
N/A. Merchant has indicated that CVV2 is not present on card,غير متاح. أشار التاجر إلى أن رمز CVV2 غير موجود على البطاقة,module,Magento_Paypal,,,,
CNPJ,CNPJ,module,Magento_Paypal,,,,
CPF,CPF,module,Magento_Paypal,,,,
Credit Card,بطاقة ائتمان,module,Magento_Paypal,,,,
ending,إنهاء,module,Magento_Paypal,,,,
expires,انتهاء صلاحية,module,Magento_Paypal,,,,
Note: %1,ملاحظة: %1,module,Magento_Paypal,,,,
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". نوع الحالة ""%2"". معرّف الحالة ""%3"" %4",module,Magento_Paypal,,,,
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". تم حل نزاع وإغلاقه. %2 مبلغ المعاملة %3.",module,Magento_Paypal,,,,
You notified customer about invoice #%1.,تم إشعار العميل بشأن الفاتورة رقم %1.,module,Magento_Paypal,,,,
We cannot cancel this order.,لا يمكن إلغاء هذا الطلب.,module,Magento_Paypal,,,,
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 مبلغ المعاملة %3. معرّف المعاملة: ""%4""",module,Magento_Paypal,,,,
You notified customer about creditmemo #%1.,تم إشعار العميل بشأن مذكرة الائتمان رقم %1.,module,Magento_Paypal,,,,
"IPN ""%1""","IPN ""%1""",module,Magento_Paypal,,,,
Payflow PNREF: #%1.,Payflow PNREF: #%1.,module,Magento_Paypal,,,,
Unable to fetch transaction details.,تعذّر جلب تفاصيل المعاملة.,module,Magento_Paypal,,,,
Invalid method %1::%2,الأسلوب غير صالح %1::%2,module,Magento_Paypal,,,,
Transaction has been declined,تم رفض المعاملة,module,Magento_Paypal,,,,
Payment can't be accepted since transaction was rejected by merchant.,لا يمكن قبول الدفع لأن التاجر رفض المعاملة.,module,Magento_Paypal,,,,
We cannot send the new order email.,لا يمكن إرسال بريد الطلب الجديد الإلكتروني.,module,Magento_Paypal,,,,
Payment error. %value was not found.,خطأ في الدفع. لم يتم العثور على %value.,module,Magento_Paypal,,,,
The verification transaction can't be voided. ,لا يمكن إلغاء معاملة التحقق.,module,Magento_Paypal,,,,
You need an authorization transaction to void.,تحتاج إلى معاملة تفويض لإجراء الإلغاء.,module,Magento_Paypal,,,,
We can't issue a refund transaction because there is no capture transaction.,تعذر إصدار استرداد لأنه لا توجد معاملة التقاط.,module,Magento_Paypal,,,,
We cannot create a target file for reading reports.,تعذر إنشاء ملف مستهدف لقراءة التقارير.,module,Magento_Paypal,,,,
Report Date,تاريخ التقرير,module,Magento_Paypal,,,,
Merchant Account,حساب التاجر,module,Magento_Paypal,,,,
Transaction ID,رقم المعاملة,module,Magento_Paypal,,,,
Invoice ID,معرف الفاتورة,module,Magento_Paypal,,,,
PayPal Reference ID,المعرف المرجعي لـ PayPal,module,Magento_Paypal,,,,
PayPal Reference ID Type,نوع المعرف المرجعي لـ PayPal,module,Magento_Paypal,,,,
Event Code,رمز الحدث,module,Magento_Paypal,,,,
Event,الحدث,module,Magento_Paypal,,,,
Start Date,تاريخ البدء,module,Magento_Paypal,,,,
Finish Date,تاريخ الانتهاء,module,Magento_Paypal,,,,
Debit or Credit,مدين أو دائن,module,Magento_Paypal,,,,
Gross Amount,المبلغ الإجمالي,module,Magento_Paypal,,,,
Fee Debit or Credit,الرسوم مدين أو دائن,module,Magento_Paypal,,,,
Fee Amount,مبلغ الرسوم,module,Magento_Paypal,,,,
Custom,مخصص,module,Magento_Paypal,,,,
Order ID,رقم الطلب,module,Magento_Paypal,,,,
Preapproved Payment ID,معرف الدفع المُعتمد مسبقًا,module,Magento_Paypal,,,,
Subscription ID,معرف الاشتراك,module,Magento_Paypal,,,,
Credit,الرصيد,module,Magento_Paypal,,,,
Debit,مدين,module,Magento_Paypal,,,,
ACH Deposit (Hold for Dispute or Other Investigation),إيداع ACH (قيد الانتظار للنزاع أو تحقيق آخر),module,Magento_Paypal,,,,
ACH Deposit (Reversal),إيداع ACH (عكس),module,Magento_Paypal,,,,
ACH Funding for Funds Recovery from Account Balance,تمويل ACH لاسترداد الأموال من رصيد الحساب,module,Magento_Paypal,,,,
ACH Withdrawal,سحب ACH,module,Magento_Paypal,,,,
"Account-to-Account Payment, initiated by PayPal",دفعة من حساب إلى حساب، بادرت بها PayPal,module,Magento_Paypal,,,,
Auction Payment other than through eBay,دفعة مزاد بخلاف eBay,module,Magento_Paypal,,,,
AutoSweep,كنس تلقائي,module,Magento_Paypal,,,,
Available Balance,الرصيد المتاح,module,Magento_Paypal,,,,
Balance Manager Account Bonus,مكافأة حساب مدير الرصيد,module,Magento_Paypal,,,,
Bonus for first ACH Use,مكافأة أول استخدام لـ ACH,module,Magento_Paypal,,,,
Buyer Credit Payment,دفعة ائتمان المشتري,module,Magento_Paypal,,,,
Charge-off,شطب الديون,module,Magento_Paypal,,,,
Coupon Redemption,استرداد القسيمة,module,Magento_Paypal,,,,
Currency Conversion required to cover negative balance,تحويل العملة المطلوب لتغطية الرصيد السالب,module,Magento_Paypal,,,,
Debit Card Cash Back,استرداد نقدي ببطاقة الخصم,module,Magento_Paypal,,,,
Debit Card Transaction,معاملة ببطاقة الخصم,module,Magento_Paypal,,,,
Direct Payment API,واجهة برمجة التطبيقات للدفع المباشر,module,Magento_Paypal,,,,
EFT Funding (German banking),تمويل EFT (الخدمات المصرفية الألمانية),module,Magento_Paypal,,,,
Express Checkout APIs,واجهات برمجة تطبيقات الدفع السريع,module,Magento_Paypal,,,,
Fee Reversal,استرداد الرسوم,module,Magento_Paypal,,,,
Fee: Foreign ACH Withdrawal,رسوم: سحب ACH الدولي,module,Magento_Paypal,,,,
Fee: Mass Pay Request,رسوم: طلب الدفع الجماعي,module,Magento_Paypal,,,,
Fee: Web Site Payments Pro Account Monthly,رسوم: رسوم شهرية لحساب Web Site Payments Pro,module,Magento_Paypal,,,,
Fee: WorldLink Check Withdrawal,رسوم: سحب شيك WorldLink,module,Magento_Paypal,,,,
Funding,تمويل,module,Magento_Paypal,,,,
General (Authorization),عام (تفويض),module,Magento_Paypal,,,,
General (Dividend),عام (أرباح),module,Magento_Paypal,,,,
General (Funds Transfer from PayPal Account to Another),عام (تحويل أموال من حساب PayPal إلى آخر),module,Magento_Paypal,,,,
General (Purchase with a credit card),عام (شراء ببطاقة ائتمان),module,Magento_Paypal,,,,
General Adjustment without businessrelated event,تسوية عامة دون حدث تجاري,module,Magento_Paypal,,,,
General Currency Conversion,تحويل عملة عام,module,Magento_Paypal,,,,
General Funding of PayPal Account ,تمويل عام لحساب PayPal,module,Magento_Paypal,,,,
General Redemption,استرداد عام,module,Magento_Paypal,,,,
General Withdrawal from PayPal Account,سحب عام من حساب PayPal,module,Magento_Paypal,,,,
General. Product no longer supported,عام. المنتج لم يعد مدعوماً,module,Magento_Paypal,,,,
General: Use of PayPal account for purchasing as well as receiving payments,عام: استخدام حساب PayPal للشراء وكذلك استلام المدفوعات,module,Magento_Paypal,,,,
General: Withdrawal from PayPal Account,عام: سحب من حساب PayPal,module,Magento_Paypal,,,,
General: Withdrawal to Non-Bank Entity,عام: سحب إلى جهة غير مصرفية,module,Magento_Paypal,,,,
General: adjustment of a type not belonging to the other T12xx categories,عام: تسوية من نوع لا ينتمي إلى فئات T12xx الأخرى,module,Magento_Paypal,,,,
General: bonus of a type not belonging to the other T08xx categories,عام: مكافأة من نوع لا تنتمي إلى فئات T08xx الأخرى,module,Magento_Paypal,,,,
General: event not yet categorized,عام: حدث لم يُصنَّف بعد,module,Magento_Paypal,,,,
General: non-payment fee of a type not belonging to the other T01xx categories,عام: رسوم غير مرتبطة بالدفع من نوع لا ينتمي إلى فئات T01xx الأخرى,module,Magento_Paypal,,,,
General: received payment of a type not belonging to the other T00xx categories,عام: دفعة مستلمة من نوع لا تنتمي إلى فئات T00xx الأخرى,module,Magento_Paypal,,,,
General: reversal of a type not belonging to the other T11xx categories,عام: استرداد من نوع لا ينتمي إلى فئات T11xx الأخرى,module,Magento_Paypal,,,,
General: temporary hold of a type not belonging to the other T15xx categories,عام: تعليق مؤقت من نوع لا ينتمي إلى فئات T15xx الأخرى,module,Magento_Paypal,,,,
Gift Certificate Payment: purchase of Gift Certificate,دفعة شهادة الهدية: شراء شهادة هدية,module,Magento_Paypal,,,,
Gift Certificate Redemption,استرداد شهادة الهدية,module,Magento_Paypal,,,,
Hidden Virtual PayPal Debit Card Transaction,معاملة بطاقة خصم PayPal الافتراضية المخفية,module,Magento_Paypal,,,,
Hold for Dispute Investigation,تعليق للتحقيق في النزاع,module,Magento_Paypal,,,,
Incentive,حاف,module,Magento_Paypal,,,,
Mass Pay Payment,دفع جماعي,module,Magento_Paypal,,,,
Merchant Referral Bonus,مكافأة إحالة التاجر,module,Magento_Paypal,,,,
Mobile Payment (made via a mobile phone),دفع عبر الهاتف المحمول,module,Magento_Paypal,,,,
Negative Balance,رصيد سالب,module,Magento_Paypal,,,,
Open Authorization,تفويض مفتوح,module,Magento_Paypal,,,,
PayPal Balance Manager function of PayPal account,وظيفة إدارة رصيد PayPal لحساب PayPal,module,Magento_Paypal,,,,
PayPal Buyer Warranty Bonus,مكافأة ضمان المشتري من PayPal,module,Magento_Paypal,,,,
PayPal Debit Card Cash Advance,سحب نقدي ببطاقة خصم PayPal,module,Magento_Paypal,,,,
PayPal Debit Card Withdrawal from ATM,سحب من ATM ببطاقة خصم PayPal,module,Magento_Paypal,,,,
PayPal Protection Bonus,مكافأة حماية PayPal,module,Magento_Paypal,,,,
Payment Refund initiated by merchant,استرداد الدفع بمبادرة من التاجر,module,Magento_Paypal,,,,
Points Incentive Redemption,استرداد حوافز النقاط,module,Magento_Paypal,,,,
Postage Payment to either USPS or UPS,دفع رسوم الشحن إلى USPS أو UPS,module,Magento_Paypal,,,,
"Preapproved Payment (BillUser API, either sent or received",دفع مُعتمد مسبقاً (BillUser API)، إما مُرسَل أو مُستلَم,module,Magento_Paypal,,,,
Reauthorization,إعادة التفويض,module,Magento_Paypal,,,,
Reimbursement of Chargeback,استرداد مبلغ الاسترجاع (Chargeback),module,Magento_Paypal,,,,
Reversal,عكس المعاملة,module,Magento_Paypal,,,,
Reversal of General Account Hold,عكس تجميد الحساب العام,module,Magento_Paypal,,,,
Reversal of Points Usage,عكس استخدام النقاط,module,Magento_Paypal,,,,
Reversal of hold for Dispute Investigation,عكس التجميد الخاص بالتحقيق في النزاع,module,Magento_Paypal,,,,
Reward Voucher Redemption,استرداد قسيمة المكافآت,module,Magento_Paypal,,,,
Settlement Consolidation,توحيد التسويات,module,Magento_Paypal,,,,
"Subscription Payment, either payment sent or payment received",دفعة الاشتراك، إما دفعة مُرسَلة أو دفعة مُستلَمة,module,Magento_Paypal,,,,
User-initiated Currency Conversion,تحويل العملة بمبادرة من المستخدم,module,Magento_Paypal,,,,
Virtual PayPal Debit Card Transaction,معاملة بطاقة الخصم الافتراضية عبر PayPal,module,Magento_Paypal,,,,
Virtual Terminal Payment,دفع عبر الطرفية الافتراضية,module,Magento_Paypal,,,,
Void,إلغاء,module,Magento_Paypal,,,,
WorldLink Withdrawal,سحب عبر WorldLink,module,Magento_Paypal,,,,
eBay Auction Payment,دفع مزاد eBay,module,Magento_Paypal,,,,
The PayPal certificate file is empty.,ملف شهادة PayPal فارغ.,module,Magento_Paypal,,,,
Header (center),الترويسة (وسط),module,Magento_Paypal,,,,
Sidebar (right),الشريط الجانبي (يمين),module,Magento_Paypal,,,,
Near PayPal Credit checkout button,بالقرب من زر الدفع عبر PayPal Credit,module,Magento_Paypal,,,,
Gold,ذهبي,module,Magento_Paypal,,,,
Blue,أزرق,module,Magento_Paypal,,,,
Silver,فضي,module,Magento_Paypal,,,,
Black,أسود,module,Magento_Paypal,,,,
Vertical,عمودي,module,Magento_Paypal,,,,
Horizontal,أفقي,module,Magento_Paypal,,,,
Pill,بيضاوي,module,Magento_Paypal,,,,
Rectangle,مستطيل,module,Magento_Paypal,,,,
Checkout,شراء,module,Magento_Paypal,,,,
Pay,ادفع,module,Magento_Paypal,,,,
Buy Now,اشترِ الآن,module,Magento_Paypal,,,,
PayPal,باي بال,module,Magento_Paypal,,,,
Installment,تقسيط,module,Magento_Paypal,,,,
--Please Select--,--أختر من فضلك--,module,Magento_Paypal,,,,
Daily,يوميا,module,Magento_Paypal,,,,
Every 3 days,كل 3 أيام,module,Magento_Paypal,,,,
Every 7 days,كل 7 أيام,module,Magento_Paypal,,,,
Every 10 days,كل 10 أيام,module,Magento_Paypal,,,,
Every 14 days,كل 14 يوماً,module,Magento_Paypal,,,,
Every 30 days,كل 30 يوماً,module,Magento_Paypal,,,,
Every 40 days,كل 40 يوماً,module,Magento_Paypal,,,,
No Logo,بدون شعار,module,Magento_Paypal,,,,
Yes (PayPal recommends this option),نعم (توصي PayPal بهذا الخيار),module,Magento_Paypal,,,,
Created billing agreement #%1.,تم إنشاء اتفاقية الفوترة رقم %1.,module,Magento_Paypal,,,,
We can't create a billing agreement for this order.,لا يمكن إنشاء اتفاقية فوترة لهذا الطلب.,module,Magento_Paypal,,,,
An invoice cannot be created when none of authorization transactions available.,لا يمكن إنشاء فاتورة عندما لا تتوفر أي معاملات تفويض.,module,Magento_Paypal,,,,
Pending PayPal,PayPal قيد الانتظار,module,Magento_Paypal,,,,
PayPal Reversed,تم عكس معاملة PayPal,module,Magento_Paypal,,,,
PayPal Canceled Reversal,تم إلغاء عكس معاملة PayPal,module,Magento_Paypal,,,,
PayPal Credit,رصيد PayPal,module,Magento_Paypal,,,,
PayPal Guest Checkout Credit Card Icons,أيقونات بطاقات الائتمان لتسجيل الخروج كضيف عبر PayPal,module,Magento_Paypal,,,,
Elektronisches Lastschriftverfahren - German ELV,نظام الخصم المباشر الإلكتروني - ELV الألماني,module,Magento_Paypal,,,,
Error,خطأ,module,Magento_Paypal,,,,
PayPal gateway has rejected request.,رفضت بوابة PayPal الطلب.,module,Magento_Paypal,,,,
Billing Agreement,اتفاقية الفوترة,module,Magento_Paypal,,,,
Please Select,أختر من فضلك,module,Magento_Paypal,,,,
Customer,زبون,module,Magento_Paypal,,,,
Created At,انشئة في ,module,Magento_Paypal,,,,
Updated At,تحديث في,module,Magento_Paypal,,,,
Not sure what PayPal payment method to use? Click ,لست متأكداً من طريقة الدفع المناسبة عبر PayPal؟ انقر,module,Magento_Paypal,,,,
here,هنا,module,Magento_Paypal,,,,
 to learn more., لمعرفة المزيد.,module,Magento_Paypal,,,,
Important: ,هام:,module,Magento_Paypal,,,,
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.",لاستخدام PayPal Payments Advanced، يجب عليك تهيئة حساب PayPal Payments Advanced الخاص بك على موقع PayPal.,module,Magento_Paypal,,,,
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below",بعد تسجيل الدخول إلى حساب PayPal Advanced، انتقل إلى قائمة إعدادات الخدمة - صفحات الدفع المستضافة - الإعداد، وقم,module,Magento_Paypal,,,,
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.",لاستخدام PayPal Payflow Link، يجب تكوين حساب PayPal Payflow Link على موقع PayPal.,module,Magento_Paypal,,,,
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below",بمجرد تسجيل الدخول إلى حساب PayPal Payflow Link، انتقل إلى قائمة إعدادات الخدمة - صفحات الدفع المستضافة - الإعداد واضبط الخيارات الموضحة أدناه,module,Magento_Paypal,,,,
Credit Card Type,نوع بطاقة الائتمان,module,Magento_Paypal,,,,
Credit Card Number,رقم بطاقة الائتمان,module,Magento_Paypal,,,,
Expiration Date,تاريخ انتهاء الصلاحية,module,Magento_Paypal,,,,
Card Verification Number,رقم التحقق من البطاقة,module,Magento_Paypal,,,,
Save for later use.,حفظ للاستخدام لاحقًا.,module,Magento_Paypal,,,,
Billing Agreement # ,اتفاقية الفوترة #,module,Magento_Paypal,,,,
Agreement Information,معلومات الاتفاقية,module,Magento_Paypal,,,,
Reference ID:,رقم المرجع:,module,Magento_Paypal,,,,
Status:,الحالة:,module,Magento_Paypal,,,,
Created:,تم الانشاء:,module,Magento_Paypal,,,,
Updated:,تم التحديث:,module,Magento_Paypal,,,,
Payment Method:,طريقة الدفع:,module,Magento_Paypal,,,,
Order #,رقم الطلب,module,Magento_Paypal,,,,
Date,التاريخ,module,Magento_Paypal,,,,
Ship To,يرسل الي ,module,Magento_Paypal,,,,
Order Status,حالة الطلب,module,Magento_Paypal,,,,
View Order,تفاصيل الطلب,module,Magento_Paypal,,,,
Back to Billing Agreements,العودة إلى اتفاقية الدفع,module,Magento_Paypal,,,,
Payment Method,طريقة الدفع,module,Magento_Paypal,,,,
View,عرض,module,Magento_Paypal,,,,
There are no billing agreements yet.,لا يوجد اتفاقية دفع حتى الان,module,Magento_Paypal,,,,
New Billing Agreement,اتفاقية فوترة جديدة,module,Magento_Paypal,,,,
You will be redirected to the payment system website.,سيتم تحويلك إلى موقع نظام الدفع.,module,Magento_Paypal,,,,
-- Please Select --,--الرجاء الاختيار-,module,Magento_Paypal,,,,
Create...,إنشاء...,module,Magento_Paypal,,,,
Your credit card will be charged for,سيتم الدفع ببطاقة الائتمان الخاصة بك لـ,module,Magento_Paypal,,,,
Your billing agreement # is: ,رقم اتفاقية الفوترة الخاصة بك هو:,module,Magento_Paypal,,,,
Shipping Method,طريقة الشحن,module,Magento_Paypal,,,,
Please select a shipping method...,من فضلك اختر طريقة شحن...,module,Magento_Paypal,,,,
Update Shipping Method,تحديث طريقة الشحن,module,Magento_Paypal,,,,
"Sorry, no quotes are available for this order right now.",عذراً، لا تتوفر عروض أسعار لهذا الطلب في الوقت الحالي.,module,Magento_Paypal,,,,
Shipping Address,عنوان الشحن,module,Magento_Paypal,,,,
Edit,تعديل,module,Magento_Paypal,,,,
Buy now with PayPal,اشترِ الآن عبر PayPal,module,Magento_Paypal,,,,
Edit Payment Information,تعديل معلومات الدفع,module,Magento_Paypal,,,,
Items in Your Shopping Cart,السلع في سلة تسوقك,module,Magento_Paypal,,,,
Edit Shopping Cart,تعديل سلة التسوق,module,Magento_Paypal,,,,
Place Order,إنشاء الطلب,module,Magento_Paypal,,,,
Submitting order information...,تقديم بيانات طلب الشراء...,module,Magento_Paypal,,,,
Item,سلعة,module,Magento_Paypal,,,,
Price,السعر,module,Magento_Paypal,,,,
Qty,الكميّة,module,Magento_Paypal,,,,
Subtotal,الإجمالي,module,Magento_Paypal,,,,
Please update order data to get shipping methods and rates,الرجاء تحديث بيانات الطلب للحصول على اسعار وطرق الشحن,module,Magento_Paypal,,,,
or,أو,module,Magento_Paypal,,,,
Checkout with PayPal,إتمام الدفع عبر PayPal,module,Magento_Paypal,,,,
Please do not refresh the page until you complete payment.,يُرجى عدم تحديث الصفحة حتى تُكمل عملية الدفع.,module,Magento_Paypal,,,,
You will be required to enter your payment details after you place an order.,سيُطلب منك إدخال بيانات الدفع بعد تقديم طلبك.,module,Magento_Paypal,,,,
Continue,استمر,module,Magento_Paypal,,,,
Additional Options,خيارات إضافية,module,Magento_Paypal,,,,
-- Please Select Billing Agreement--,-- يُرجى تحديد اتفاقية الفوترة --,module,Magento_Paypal,,,,
Acceptance Mark,علامة القبول,module,Magento_Paypal,,,,
What is PayPal?,ما هو PayPal؟,module,Magento_Paypal,,,,
Sign a billing agreement to streamline further purchases  with PayPal.,وقِّع اتفاقية فوترة لتبسيط عمليات الشراء اللاحقة عبر PayPal.,module,Magento_Paypal,,,,
Sign a billing agreement to streamline further purchases with PayPal.,وقِّع اتفاقية فوترة لتبسيط عمليات الشراء اللاحقة عبر PayPal.,module,Magento_Paypal,,,,
Continue to PayPal,المتابعة إلى PayPal,module,Magento_Paypal,,,,
Save credit card information for future use.,حفظ معلومات بطاقة الائتمان للاستخدام مستقبلاً.,module,Magento_Paypal,,,,
Something went wrong with your request. Please try again later.,حدث خطأ في طلبك. يُرجى المحاولة مرة أخرى لاحقاً.,module,Magento_Paypal,,,,
"Sorry, something went wrong.",آسف، حدث خطأ ما.,module,Magento_Paypal,,,,
"Sorry, something went wrong. Please try again later.",آسف، حدث خطأ ما. الرجاء المحاولة مرة أخرى لاحقاً.,module,Magento_Paypal,,,,
PayPal Section,قسم PayPal,module,Magento_Paypal,,,,
PayPal Settlement,تسوية باي بال,module,Magento_Paypal,,,,
Fetch,جلب,module,Magento_Paypal,,,,
Actions,اعمال,module,Magento_Paypal,,,,
Manage,إدارة,module,Magento_Paypal,,,,
Place Order Using Billing Agreements,تقديم الطلب باستخدام اتفاقيات الفوترة,module,Magento_Paypal,,,,
Orders,الطلبات,module,Magento_Paypal,,,,
Payment Amount Authorization,تفويض مبلغ الدفع,module,Magento_Paypal,,,,
Merchant Location,موقع التاجر,module,Magento_Paypal,,,,
Merchant Country,دولة التاجر,module,Magento_Paypal,,,,
"If not specified, Default Country from General Config will be used.",في حال عدم التحديد، سيتم استخدام الدولة الافتراضية من الإعدادات العامة.,module,Magento_Paypal,,,,
Recommended Solutions:,الحلول الموصى بها:,module,Magento_Paypal,,,,
Other PayPal Payment Solutions:,حلول دفع PayPal الأخرى:,module,Magento_Paypal,,,,
Other Payment Methods:,طرق دفع أخرى:,module,Magento_Paypal,,,,
PayPal Express Checkout,الدفع السريع PayPal,module,Magento_Paypal,,,,
Add another payment method to your existing solution or as a stand-alone option.,أضف طريقة دفع أخرى إلى حلّك الحالي أو كخيار مستقل.,module,Magento_Paypal,,,,
